iter	Passed	Remaining
409	4054	889
410	4062	879
411	4071	869
412	4080	859
413	4090	849
414	4098	839
415	4107	829
416	4116	819
417	4124	809
418	4134	799
419	4142	789
420	4150	778
421	4158	768
422	4166	758
423	4173	748
424	4181	737
425	4189	727
426	4196	717
427	4204	707
428	4212	697
429	4220	687
430	4228	677
431	4236	666
432	4244	656
433	4252	646
434	4260	636
435	4268	626
436	4276	616
437	4284	606
438	4292	596
439	4299	586
440	4307	576
441	4316	566
442	4324	556
443	4332	546
444	4339	536
445	4347	526
446	4355	516
447	4362	506
448	4370	496
449	4377	486
450	4385	476
451	4393	466
452	4402	456
453	4410	446
454	4419	437
455	4427	427
456	4436	417
457	4444	407
458	4453	397
459	4463	388
460	4472	378
461	4481	368
462	4490	358
463	4499	349
464	4507	339
465	4515	329
466	4523	319
467	4532	309
468	4540	300
469	4548	290
470	4557	280
471	4566	270
472	4574	261
473	4582	251
474	4590	241
475	4598	231
476	4605	222
477	4613	212
478	4620	202
479	4629	192
480	4637	183
481	4645	173
482	4653	163
483	4661	154
484	4669	144
485	4677	134
486	4684	125
487	4692	115
488	4700	105
489	4708	96
490	4717	86
491	4725	76
492	4732	67
493	4741	57
494	4749	47
495	4756	38
496	4766	28
497	4775	19
498	4784	9
499	4793	0
